candidate	retired_provenance	referrer	replacement_count	current_owner
docs/deepresearch/Backfill Production Gate.md	retired-provenance:ef216de2963e	docs/superpowers/productization/evidence/2026-06-17_cc-framework-improvements_productization_handoff-prune_34cdf61d.md	1	`docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns the; `docs/lc-msms-evidence-rules.md` owns durable LC-MS/MS evidence semantics.; `docs/agent/product-validation-contract.md` owns product-readiness wording and; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/deepresearch/Backfill Production Gate.md	retired-provenance:ef216de2963e	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	5	`docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns the; `docs/lc-msms-evidence-rules.md` owns durable LC-MS/MS evidence semantics.; `docs/agent/product-validation-contract.md` owns product-readiness wording and; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md	retired-provenance:230f58c7688e	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current rerun policy and stable P2-entry; `docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns active; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-26-p2b-area-mismatch-triage-note.md	retired-provenance:ee34c2a7c8b7	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current target conclusions, rerun policy,; `docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns active; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-26-p8b-85raw-superwindow-acceptance-note.md	retired-provenance:06186d494ccc	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	3	`docs/diagnostic-ledger.md` owns the current acceptance verdict and rerun; `docs/agent-parameter-settings.md` owns canonical 85RAW command-shape and; `docs/superpowers/plans/2026-06-15-productization-control-plane.md`,
docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md	retired-provenance:1c044268cdd9	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md	retired-provenance:315e9bea6c02	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-05-gaussian15-ms1-peak-group-nl-scope-production-ready-closeout.md	retired-provenance:d2f594bc103d	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md	retired-provenance:a715796da6a7	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-critical-review.md	retired-provenance:14c21c25e777	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-18-backfill-autowrite-ground-truth-strategy-note.md	retired-provenance:3c8b1f3345d2	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/notes/2026-06-18-chatgpt_reset_backfill_productization_objective.md	retired-provenance:5808d3cecd36	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	2	none
docs/superpowers/plans/2026-05-03-output-maintainability-refactor.md	retired-provenance:b6b90d4c5a61	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	1	`docs/project-layout.md`; `docs/superpowers/specs/2026-05-03-output-maintainability-design.md`
docs/superpowers/plans/2026-06-18-backfill-evidence-lifecycle-blueprint.md	retired-provenance:6a732d03b396	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	1	none
docs/superpowers/reports/2026-06-15-current-capability-inventory-and-promotion-roadmap.md	retired-provenance:0bcc2e4921db	docs/superpowers/notes/2026-06-25-obsidian-migration-classification-inventory.md	1	`docs/product/productization.md`; `docs/superpowers/plans/2026-06-15-productization-control-plane.md`; `docs/superpowers/validation/productization_status_index_v1.tsv`; `docs/superpowers/schemas/productization_authority_manifest.v1.json`
docs/superpowers/specs/2026-05-03-output-maintainability-design.md	retired-provenance:fe425d30c00c	docs/superpowers/plans/2026-05-03-output-maintainability-refactor.md	1	`docs/architecture-contract.md; docs/product/productization.md`
docs/superpowers/specs/2026-05-15-multi-nl-tag-and-artificial-adduct-contract.md	retired-provenance:b11335f3179c	docs/superpowers/plans/2026-05-15-multi-nl-tag-and-artificial-adduct-plan.md	1	`docs/lc-msms-evidence-rules.md; docs/product/targeted-selection.md`
docs/superpowers/specs/2026-05-16-targeted-benchmark-reliability-spec.md	retired-provenance:53a763b9ec7a	docs/superpowers/plans/2026-05-16-targeted-benchmark-reliability-plan.md	1	`docs/product/targeted-selection.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-07-backfill-evidence-reconciliation-gallery-design.md	retired-provenance:0a1c58083825	docs/superpowers/plans/2026-06-07-backfill-evidence-reconciliation-productization-plan.md	2	`docs/product/productization.md; docs/product/backfill.md; docs/product/quant-matrix.md; docs/product/run-provenance.md; docs/product/review-roundtrip.md`
docs/superpowers/specs/2026-05-06-numofinder-inspired-ms2-evidence-and-discovery-spec.md	retired-provenance:43ac0f54d103	docs/superpowers/specs/2026-05-12-untargeted-performance-architecture-spec.md	1	`docs/lc-msms-evidence-rules.md; docs/product/targeted-selection.md`
docs/superpowers/notes/2026-05-24-resolver-default-switch-validation-note.md	retired-provenance:230f58c7688e	docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md	1	`docs/diagnostic-ledger.md` owns the current rerun policy and stable P2-entry; `docs/superpowers/plans/2026-06-15-productization-control-plane.md` owns active; `docs/superpowers/validation/productization_status_index_v1.tsv` and
docs/superpowers/notes/2026-05-27-asls-minimal-closeout-note.md	retired-provenance:65420d0c9a87	docs/superpowers/specs/2026-05-28-product-priority-reset-decision-spec.md	1	`docs/product/quant-matrix.md; docs/product/quantitation-context.md`
docs/superpowers/specs/2026-05-11-untargeted-alignment-output-contract.md	retired-provenance:a8d826fd641c	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md	2	`docs/product/alignment.md`
docs/superpowers/specs/2026-05-24-peak-pipeline-cleanup-alignment-grouping-consolidation-spec.md	retired-provenance:a2156b86083c	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md	retired-provenance:2ae004032a4f	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md	1	`docs/product/quantitation-context.md; docs/product/productization.md; docs/architecture-contract.md`
docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md	retired-provenance:64de5836a40e	docs/superpowers/specs/2026-06-01-c6-alignment-stage-semantics-value-assessment-design.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md	retired-provenance:80511368b0a1	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	1	`docs/product/quant-matrix.md; docs/product/quantitation-context.md`
docs/superpowers/specs/2026-05-24-peak-pipeline-cleanup-roadmap-overview-spec.md	retired-provenance:59c072e022f0	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	1	`docs/product/targeted-selection.md`; `docs/product/quantitation-context.md`; `docs/product/productization.md`; `docs/architecture-contract.md`
docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-current-state-reassessment-spec.md	retired-provenance:2ae004032a4f	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	2	`docs/product/quantitation-context.md; docs/product/productization.md; docs/architecture-contract.md`
docs/superpowers/specs/2026-06-01-technical-debt-and-dead-code-cleanup-roadmap-v2-spec.md	retired-provenance:f615da3d79d1	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	2	`docs/architecture-contract.md; docs/product/productization.md`
docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md	retired-provenance:ebcb7b73c424	docs/superpowers/specs/2026-06-01-peak-pipeline-cleanup-one-goal-phase-contract-spec.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md	retired-provenance:64de5836a40e	docs/superpowers/specs/2026-06-02-cross-sample-peak-group-public-behavior-addendum.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/notes/2026-06-02-c4-c6-region-foundation-closeout.md	retired-provenance:80511368b0a1	docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	1	`docs/product/quant-matrix.md; docs/product/quantitation-context.md`
docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md	retired-provenance:af29f907f881	docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	1	`docs/product/targeted-selection.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-c6-cross-sample-peak-group-hypothesis-shadow-contract-design.md	retired-provenance:64de5836a40e	docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md	retired-provenance:ebcb7b73c424	docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md	retired-provenance:44f1b5db924b	docs/superpowers/specs/2026-06-02-public-behavior-retirement-productization-design.md	1	`docs/product/quantitation-context.md; docs/product/targeted-selection.md; docs/lc-msms-evidence-rules.md`
docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md	retired-provenance:44f1b5db924b	docs/superpowers/specs/2026-06-02-region-boundary-public-behavior-addendum.md	1	`docs/product/quantitation-context.md; docs/product/targeted-selection.md; docs/lc-msms-evidence-rules.md`
docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md	retired-provenance:af29f907f881	docs/superpowers/specs/2026-06-02-selected-hypothesis-evidence-decision-public-behavior-addendum.md	1	`docs/product/targeted-selection.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-01-c4-peak-scoring-evidence-decision-design.md	retired-provenance:af29f907f881	docs/superpowers/specs/2026-06-02-selected-hypothesis-model-selection-parity-spec.md	1	`docs/product/targeted-selection.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-05-14-final-matrix-identity-contract.md	retired-provenance:3826f209136f	docs/superpowers/specs/2026-06-03-full-untarget-peak-hypothesis-final-matrix-contract.md	1	`docs/product/quant-matrix.md`; `docs/product/evidence-spine.md`; `docs/superpowers/specs/2026-06-03-full-untarget-peak-hypothesis-final-matrix-contract.md`
docs/superpowers/specs/2026-06-02-asls-primary-matrix-value-policy-spec.md	retired-provenance:66796b0ff1ab	docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md	1	`docs/lc-msms-evidence-rules.md`; `docs/product/quant-matrix.md`; `docs/product/quantitation-context.md`
docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md	retired-provenance:ebcb7b73c424	docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-region-boundary-decision-owner-design.md	retired-provenance:44f1b5db924b	docs/superpowers/specs/2026-06-03-selected-full-envelope-quantitation-boundary-spec.md	1	`docs/product/quantitation-context.md; docs/product/targeted-selection.md; docs/lc-msms-evidence-rules.md`
docs/superpowers/specs/2026-04-20-peak-scoring-tiered-design.md	retired-provenance:19b77d0bb466	docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md	1	`docs/product/targeted-selection.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-02-mature-package-flow-reference-spec.md	retired-provenance:ebcb7b73c424	docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md	1	`docs/product/discovery.md; docs/product/alignment.md; docs/product/evidence-spine.md`
docs/superpowers/specs/2026-06-03-targeted-evidence-chain-alignment-spec.md	retired-provenance:d762b1a67888	docs/superpowers/specs/2026-06-03-target-pair-rt-auto-reselection-spec.md	1	`docs/product/alignment.md`
docs/superpowers/notes/2026-06-15-replay-executor-validation-note.md	retired-provenance:a715796da6a7	docs/superpowers/specs/2026-06-15-method-manifest-v1-spec.md	1	none
