path	size_bytes	line_count	sha256	category	retention_decision	authority_scope	referenced_by	keep_reason	next_action
docs/superpowers/fixtures/RETENTION.md	2200	43	B5B794E21A047937538C20727CF01D471871DD0707C850545EEC02A6B5893B6C	summary_or_policy	keep_summary	fixture_retention	docs/superpowers/fixtures/README.md	Defines allowed fixture retention decisions.	keep
docs/superpowers/fixtures/README.md	1051	30	4331A40EE9FEA3A52C68F93968692FC355DB482E2D5345E6928427BFF5064023	summary_or_policy	keep_summary	fixture_retention	docs/project-layout.md	Root landing page that separates fixtures from generated result dumps.	keep
docs/superpowers/fixtures/alignment_cell_integration_audit_current_asls_schema.tsv	345	1	E357ECCE4CB944FA66F412231A318934078F97DED8DE597A7D687D272026FC1E	schema_fixture	keep_contract	alignment_writer_schema	tests/test_alignment_tsv_writer.py	Locks the ASLS-compatible alignment writer schema fixture.	keep
docs/superpowers/fixtures/chrom_peak_segment_presence_review_manual_oracle_v1.tsv	3054	15	9AD6B8E541812A80FFAA021ACDB932A9A4C137BEB7AEDDD2AAF96D12A6DD78F2	manual_oracle	needs_human_review	chrom_peak_segment	docs/superpowers/notes/2026-06-04-chrom-peak-segment-overlay-evidence.md	Manual-looking presence oracle currently referenced by a note, not a direct checker/test consumer.	add_consumer_test
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_primary_delivery_fix_summary.tsv	1854	35	DC655DA7A7713784BE183A94B990576EFA360D344016B8E40D630D00D57365CA	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix 85RAW validation summary retained as ledger evidence.	hash_drift_observed=4CF19B045F850B205E23888F1B3C5A6E3AF1C0BEC0C516E4447B61738CEAC24B
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/85raw_weak_seed_tolerated_watch_rows.tsv	528	6	BA635DCE2F410C539A6B3F5B0A850052CA16AF70897826CC7D673999860BB2D0	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix weak-seed watch rows retained as ledger evidence.	hash_drift_observed=E003FDEAC97E1DAE6E0D6AF929CDD7EA3A004BC9873A0340EF8A7B2E099683E4
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	2681	40	5529899FFA42911FD59087DCFE5C63415237007D1D0F1FEA3038BEB66FE4920A	summary_or_policy	keep_summary	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Explains the frozen 2026-05-28 diagnostic ledger fixture packet.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/collateral_promoted_primary_rows_primary_delivery_fix.csv	3007	14	9CFD07DBDD067748DEFEA883086894E481E947C157C15727E7BACC6DDCB71296	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Post-fix collateral promotion table retained as ledger evidence.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/diagnostic_tool_usage_current_8raw.tsv	3761	11	EB70B8BB39BC93A103395F39DEB606B57323DF9EC6E29B4BA4BF64618DBF9E4E	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW diagnostic tool usage snapshot retained as ledger evidence.	record_current_sha
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved.tsv	3448	8	9A63FC81C811CF92925853884837B623878B644A26311799FAF64FA4947548E8	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW resolved matrix snapshot retained as ledger evidence.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1_review_matrix_resolved_primary_delivery_fix.tsv	3750	8	B38EC06D01714B4AACA6825B1C003C9BB724264689FCD78FBCB8DD2F9AB0CE9D	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Post-fix 8RAW resolved matrix snapshot retained as ledger evidence.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_85raw_policy_delta.tsv	45852	97	14B126AAF40EBC1EEE84980E89AEE5B757CFAF8CFBCC16C63EE5E735F9A97D8B	policy_delta_dump	archive_later	diagnostic_ledger_2026_05_28	docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Policy delta dump retained temporarily for historical note parity, not active fixture authority.	hash_drift_observed=EAA72BD296B4DBA270349583EEB799A9D2C98CC2BB32421D5317CF9C92CD70B2
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_8raw_policy_delta.tsv	39769	81	3C22793B385AF0EECA030C96F2D6B497D4DE5C4227523BB264BAE63CA278A264	policy_delta_dump	archive_later	diagnostic_ledger_2026_05_28	docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Policy delta dump retained temporarily for historical note parity, not active fixture authority.	hash_drift_observed=A889FEEE29682A12E274B273EF0DEC45BACCD7CBB6166D2BB97A55C6025083C3
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/phase1b_policy_delta_summary.tsv	1000	3	297CE32319BF7EEE8EFD155EE762A558984F0C943696B1072FD046F61762F2D6	diagnostic_summary	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/superpowers/notes/2026-05-28-qualitative-selection-acceptance-gate-note.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Summary for phase1b policy delta fixtures retained as historical context.	hash_drift_observed=533C74ABAE7313D2B8A52B3B963A63C2A5E4EF2B5F03905CEAABA35005CEB1BA
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/post_review_hardened_single_dr_gate_summary.tsv	629	3	5089929399B4D3E642BA6C869C3B8D140D58178C55283FB5C4B37528775FAF0A	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-review hardened single-dR gate summary retained as ledger evidence.	hash_drift_observed=43FE4E4BCFF9DD20CA6B16F183F7A414EE89DCF1657A7E2E3B20559E32DE48E3
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage.tsv	4817	8	73601AE36C879CE827AEA5816F6E690DF023F8DEB59B63F97ED8BBDEE635A3F9	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW row triage snapshot retained as ledger evidence.	canonical_duplicate_group
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage_primary_delivery_fix.tsv	4817	8	73601AE36C879CE827AEA5816F6E690DF023F8DEB59B63F97ED8BBDEE635A3F9	diagnostic_ledger_snapshot	archive_later	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix row triage snapshot duplicates the current triage snapshot and is retained until ledger references are rewritten.	duplicate_of=docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/target_derived_review_row_triage.tsv
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_comparison.csv	2484	9	DB05B546B99CB9567D7873216906181FB20F57BA021BEFC3A503CC3128BE77D8	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW targeted GT default checkpoint comparison retained as ledger evidence.	canonical_duplicate_group
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_failure_mode_report.md	2628	85	425B5ABD766A86BAF7970ADC6FC2C06F405454CAB3AAAFB066BE52FAA8679C88	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Current 8RAW targeted GT default checkpoint failure-mode report retained as ledger evidence.	keep
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_comparison.csv	2484	9	DB05B546B99CB9567D7873216906181FB20F57BA021BEFC3A503CC3128BE77D8	diagnostic_ledger_snapshot	archive_later	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md;docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/README.md	Post-fix 8RAW targeted GT comparison duplicates the current comparison and is retained until ledger references are rewritten.	duplicate_of=docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_current_8raw_comparison.csv
docs/superpowers/fixtures/diagnostic_ledger_2026_05_28/targeted_gt_alignment_audit_default_5medc_primary_delivery_fix_failure_mode_report.md	2618	85	FFB5EA89BD1DAECA685BBBA2F9BA96D069C934996DD7C5B3A332992B15D76D98	diagnostic_ledger_snapshot	keep_ledger_snapshot	diagnostic_ledger_2026_05_28	docs/diagnostic-ledger.md	Post-fix 8RAW targeted GT default checkpoint failure-mode report retained as ledger evidence.	keep
docs/superpowers/fixtures/selected_envelope_manual_boundary_review_gaussian15_peak_group_20260605.tsv	1337	5	6071B51EC8DD61078EB4054D5C85BC5474DBB6F5B0BD735B8D72202182BC6339	manual_oracle	keep_manual_oracle	selected_envelope	docs/superpowers/notes/2026-06-05-gaussian15-ms1-morphology-production-ready-closeout.md	Manual boundary review fixture retained as selected-envelope oracle evidence.	optional_consumer_guard
docs/superpowers/fixtures/selected_full_envelope_fe4_preflight_manifest.json	664	14	0E76F57E447A2E38D83F4FBE3E3ACB58600C225EB7EDE38007E30A8D1EE7670F	manifest	keep_manifest	selected_envelope	docs/superpowers/notes/2026-06-03-selected-full-envelope-fe4-preflight.md	Short diagnostic-only preflight manifest with raw_launch_allowed=FALSE.	keep
docs/superpowers/fixtures/shared_peak_identity_activation_must_not_regress_v1.tsv	3149	12	6439ECC1D5D371556A350F479CA29A864A3201A770318C8CF07A45E169B4A07A	contract_fixture	keep_contract	shared_peak_identity	tools/diagnostics/INDEX.md;docs/superpowers/specs/2026-05-30-sidecar-to-product-label-activation-contract.md	Machine-readable activation regression contract for shared peak identity diagnostics.	keep
docs/superpowers/fixtures/shared_peak_identity_manual_oracle_v1.tsv	15022	41	E4BB0060380DC9F6F5EFA6B22B84C9132182202F8DFD73731EB344F25E6D38A4	manual_oracle	keep_manual_oracle	shared_peak_identity	tests/test_shared_peak_identity_oracle.py;tests/test_shared_peak_identity_classifier.py;tests/test_shared_peak_identity_assembler.py	Human-reviewed shared peak identity oracle consumed by tests.	keep
docs/superpowers/fixtures/shared_peak_identity_mode_window_assignment_contract_v0.tsv	4827	11	6EE48B4E4A69241A6EE8366AD490C043195580BF159A3297FDC721B75A55DE64	contract_fixture	keep_contract	shared_peak_identity	tools/diagnostics/INDEX.md;docs/superpowers/specs/2026-05-30-sidecar-to-product-label-activation-contract.md	Mode-window assignment contract consumed by shared peak identity acceptance diagnostics.	keep
docs/superpowers/fixtures/target_pair_chrom_morphology_area_ratio_manual_oracle_v1.tsv	1641	7	C3B6896653A46DC60281528EAA8B414020D3FBCE8A6A0FD4E0C047E3CA2C5A38	manual_oracle	keep_manual_oracle	lockbox_manual_negative	scripts/build_peak_choice_truth_lockbox.py;docs/superpowers/validation/lockbox_sampling_manifest_v1.tsv	Manual negative fixture used by lockbox truth generation and retained validation manifests.	keep
docs/superpowers/fixtures/targeted_nl_fail_own_max_gate_expected_diff_v0.tsv	1159	4	D8274DC4412E2845C920B23E2CA0EC9C7C3A22E947B8442F87DDD810BCF69D5C	expected_diff_contract	keep_contract	targeted_nl_fail_gate	docs/superpowers/specs/2026-06-16-shared-target-untarget-peak-identity-spine-spec.md	Expected-diff contract for targeted NL fail-own-max gate behavior.	add_consumer_test_if_active_gate
